id,person_id,purchase_date,retailer,item_description,product_code,master_category_full_name,price,sales_unit,age_group,person_gender,location_id
1e2e450335f102e6139d38ad6405fb8e,664761680ec95b536683a9cb66b02a90,2023-06-24,A,농심 올리브짜파게티1,8801043015264.0,가공식품>즉석/편의식품>라면류>봉지라면,4880,1,5054,0,2
b1eeac69057d643c86c10abcb2d07a33,feb18958770d60af1f00ab05669ffe98,2023-06-25,B,농심 안성탕면,8801043014786.0,가공식품>즉석/편의식품>라면류>봉지라면,3380,1,4549,0,8
cfa6d994a26a92ebba05af8465e2cb41,c44816a6bf18b768c9c485c90590bab3,2023-06-24,A,오뚜기사천짜장(분말),8801045861104.0,가공식품>즉석/편의식품>즉석/조리식품>기타즉석/조리식품,2580,1,4549,0,5
1715c9dae66862ace9aae2cd2519c418,c44816a6bf18b768c9c485c90590bab3,2023-06-24,A,오뚜기 짜장(분말)100,8801045860107.0,가공식품>즉석/편의식품>즉석/조리식품>기타즉석/조리식품,2570,3,4549,0,7
8e11b7218fb95a89caf37fe69d5bcb87,c44816a6bf18b768c9c485c90590bab3,2023-06-24,A,오뚜기튀김가루1kg,8801045420509.0,가공식품>분말류>밀가루분말류>밀가루,3400,1,4549,0,3
3d6f0e727e59b8f5b8add20a6773fded,c44816a6bf18b768c9c485c90590bab3,2023-06-24,A,오뚜기 3분카레약간매,8801045290317.0,가공식품>즉석/편의식품>즉석/조리식품>즉석카레류,1680,4,4549,0,2
80f9ebcc1e3d9d05d9c6a5225c4acbfa,8467422cbbfac129bc186bead1eb6d69,2023-06-29,A,해태맛동산300g,8801019603440.0,가공식품>과자류>비스킷>스낵,4380,1,5559,1,2
df12fcfd879dec0dc80a33dbd9541417,06ecc0fa9156a83c5017b053e0cc04a7,2023-06-30,A,CJ쌈장450g(고기전용),8801007053134.0,가공식품>조미료>장류>쌈장,6880,2,3034,0,4
d16d0ab58c95d65171921b42081521ba,a79abd61a6105da2d0a4eff29903b3df,2023-07-01,A,농심 올리브짜파게티1,8801043015264.0,가공식품>즉석/편의식품>라면류>봉지라면,4880,1,3034,0,2
427f182710bfaa249eebe37fcb127126,192b4db1936cc98abf1b0fb4bda471e3,2023-07-01,B,팔도 도시락 쇠고기맛,8801128503174.0,가공식품>즉석/편의식품>라면류>용기라면,870,1,4549,0,3
c6c862541239fc719025a2f58710a3f1,d8df0c1ed6ee7dc7feb194fd7e7c274f,2023-07-01,A,오뚜기 짜장(분말)100,8801045860107.0,가공식품>즉석/편의식품>즉석/조리식품>기타즉석/조리식품,2570,1,5559,0,7
b50226812d6b14d1e614f65c0323dfc8,6c5f2819eb766862c3e1ef6b7de34454,2023-07-01,A,농심 올리브짜파게티1,8801043015264.0,가공식품>즉석/편의식품>라면류>봉지라면,4880,1,3539,0,2
61dab4a4ae0b130fa5d684d7fb3a4332,199e5f99d9c854d23dfb8f1966bea483,2023-07-01,A,오뚜기부침가루1kg,8801045423500.0,가공식품>분말류>밀가루분말류>밀가루,3400,1,5054,0,2
e3283e0b44047607796de2ef48c4ec3d,13d0f127fd6aaaa259b7c4f4bd56ecc7,2023-06-29,A,해태맛동산300g,8801019603440.0,가공식품>과자류>비스킷>스낵,4380,1,4044,0,2
e9cd9379e869819f5357227971db5e31,193b0351693cf787c2b1423f1b806806,2023-07-01,B,CJ 밥이랑 야채 (27G),8801007023342.0,가공식품>즉석/편의식품>즉석/조리식품>즉석국/찌개류,1980,1,4549,0,2
736ecb41d6ee06098219fb84ad7d027d,a3849322049d20a065590f31828678f8,2023-07-05,A,삼양 쇠고기면 120g*5,8801073103740.0,가공식품>즉석/편의식품>라면류>봉지라면,2500,1,3539,1,2
92c41eac173509be51376e47e8589689,e26c3bf4ebb618b0f52abc3a08f90876,2023-07-02,B,오리온 닥터유 에너지바,8801117432003.0,가공식품>과자류>사탕류>초콜릿류,3980,1,4549,0,9
69f9551d454bcab0cbd612481c57f48a,4968d8089176994a199cd01749478caa,2023-07-06,A,포스트 코코볼570G,8801037041248.0,가공식품>즉석/편의식품>편의식품>시리얼,6480,1,3034,0,6
a7e694e89708dfac7932151274c7d12c,a98adc0a3e0539da822cd763b6ebfff8,2023-07-06,A,오뚜기부침가루1kg,8801045423500.0,가공식품>분말류>밀가루분말류>밀가루,3400,1,3539,0,2
17aa6c141c9695edaebaace80f48145a,a98adc0a3e0539da822cd763b6ebfff8,2023-07-11,A,켈로그 콘푸로스트600,8801083001425.0,가공식품>즉석/편의식품>편의식품>시리얼,6980,1,3539,0,5
0cfc05fa674f2576e0ef91446997431a,2c5ec60d89789bec6d230c8214ec0732,2023-07-04,B,청정원카레여왕 구운마늘&양파 (108G),8801052739991.0,가공식품>즉석/편의식품>즉석/조리식품>즉석카레류,3780,1,5054,0,9
f7856cbeee856698911b4eb6f289d394,802eb54c1f997b8c4c07fb10dedd18e5,2023-07-13,A,오뚜기카레순한맛100g,8801045010113.0,가공식품>즉석/편의식품>즉석/조리식품>즉석카레류,2380,1,5054,0,4
883b53072532595f4b23b6569207f906,2882abd5a5b4d2d5c4c0a9feac934ded,2023-07-13,B,농심 안성탕면,8801043014786.0,가공식품>즉석/편의식품>라면류>봉지라면,3380,1,3539,0,8
4b924d064107e186b6efaded7b11edd6,d6a4750e9791c41b59d32c803fb76b80,2023-07-14,A,CJ백설부침가루500g(,8801007107547.0,가공식품>분말류>밀가루분말류>밀가루,3680,1,4549,1,4
fa4ebdd0e767b29bfadbfa738c164353,77c96bd142b0c5e7bc67cfe1e6cea09c,2023-07-14,B,청정원 재래식된장,8801052436012.0,가공식품>조미료>장류>된장,4700,1,2529,1,9
580a58f0ce97f888b6731fc6760f767f,2151608cd0d77441e2e162e53f88a9b8,2023-07-14,A,CJ백설밀가루1kg(강력,8801007039435.0,가공식품>분말류>밀가루분말류>밀가루,2350,1,4549,1,6
